ID,name,source ref,source type,mapping type,target_ID,target name,target ref,target type,STIX ID,created,last modified
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1105,Ingress Tool Transfer,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,technique,relationship--c3bedbae-b1e1-4a35-8c59-d181dca093e4,07 May 2020,14 October 2020
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1204.002,Malicious File,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,technique,relationship--20599767-204a-4cbf-ada7-0f931ee925e4,05 May 2020,14 October 2020
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1036.004,Masquerade Task or Service,attack-pattern--7bdca9d5-d500-4d7d-8c52-5fd47baf4c0c,technique,relationship--5cabd775-7d78-4150-b529-bb8cfb747013,07 May 2020,14 October 2020
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1571,Non-Standard Port,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18,technique,relationship--db0f9f05-6f76-47c3-81bf-a59d85045188,05 May 2020,14 October 2020
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1027,Obfuscated Files or Information,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,technique,relationship--7b4b8d0b-fbc3-469a-ab62-72c5c4c4653d,05 May 2020,14 October 2020
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1053.005,Scheduled Task,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,technique,relationship--aa5d5fcd-db19-4593-a958-b09853ceb372,05 May 2020,14 October 2020
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1566.001,Spearphishing Attachment,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597,technique,relationship--ee00cd55-254b-4780-be47-e0f78a327c93,05 May 2020,14 October 2020
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1588.002,Tool,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0,technique,relationship--6c89f28c-963b-44ef-8dda-5916aa17b7e9,26 May 2021,26 May 2021
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,T1059.005,Visual Basic,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67,technique,relationship--d4922804-7216-4e83-b0c0-6e61b09d5fc0,07 May 2020,14 October 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1560.001,Archive via Utility,attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,technique,relationship--43c34939-8236-4ddd-8def-0eb7b5fe62cf,31 May 2017,30 March 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1119,Automated Collection,attack-pattern--30208d3e-0d6b-43c8-883e-44462a514619,technique,relationship--4c2924c1-dec5-4390-87d7-c52e24a92512,30 January 2019,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1005,Data from Local System,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,technique,relationship--38a72b32-dc04-493d-8b92-31174c32f3ed,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1583.001,Domains,attack-pattern--40f5caa0-4cb7-4117-89fc-d421bb493df3,technique,relationship--40e49390-e8a5-4d91-8ec9-d05fb3b71149,02 October 2020,02 October 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1584.001,Domains,attack-pattern--f9cc4d06-775f-4ee1-b401-4e2cc0da30ba,technique,relationship--c1c2c530-a2d2-4c2f-bcff-ceda0277de59,13 October 2020,13 October 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1585.002,Email Accounts,attack-pattern--65013dd2-bc61-43e3-afb5-a14c4fa7437a,technique,relationship--9b14bfc1-2c78-4ec9-ad02-aeed6f1cf83e,14 October 2020,14 October 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1003.001,LSASS Memory,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90,technique,relationship--28b27852-4125-4639-a07b-0b97dfdb650a,31 May 2017,19 March 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1087.001,Local Account,attack-pattern--25659dd6-ea12-45c4-97e6-381e3e4b593e,technique,relationship--d014d8e1-b12e-4b85-84ee-ff4338c54393,30 January 2019,18 March 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1114.001,Local Email Collection,attack-pattern--1e9eb839-294b-48cc-b0d3-c45555a2a004,technique,relationship--757bed64-558b-4ea7-84b9-b82d8b23f9b2,31 May 2017,17 March 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1588.001,Malware,attack-pattern--7807d3a4-a885-4639-a786-c1ed41484970,technique,relationship--7b817a81-02a9-48f0-8166-9e25b6860a76,15 October 2020,22 October 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1036.005,Match Legitimate Name or Location,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,technique,relationship--c7823efd-005f-49ad-94cf-ebc44a87abed,31 May 2017,17 March 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,T1135,Network Share Discovery,attack-pattern--3489cfc5-640f-4bb3-a103-9137b97de79f,technique,relationship--e07b76a4-98d7-4adc-b90e-a1f7f2266867,30 January 2019,20 August 2019
