ID,name,source_ref,source_type,mapping_type,target_ID,target_name,target ref,target_type,mapping description,STIX ID,created,last modified
G0099,APT-C-36,intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,group,uses,S0434,Imminent Monitor,tool--8f8cd191-902c-4e83-bf20-b57c8c4640e9,software,(Citation: QiAnXin APT-C-36 Feb2019),relationship--3f010259-666c-403b-b5c7-603b319583da,05 May 2020,14 October 2020
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0017,BISCUIT,malware--b8eb28e4-48a6-40ae-951a-328714f75eda,software,(Citation: Mandiant APT1),relationship--19fce62c-ba70-4c20-bf74-0bca7886190c,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0025,CALENDAR,malware--5a84dc36-df0d-4053-9b7c-f0c388a57283,software,(Citation: Mandiant APT1),relationship--7909f5a6-3924-4259-aedd-2e48123f563a,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0119,Cachedump,tool--c9cd7ec9-40b7-49db-80be-1399eddd9c52,software,(Citation: Mandiant APT1),relationship--1d5e0da2-7741-4a31-9c54-cbbe584fe27b,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0026,GLOOXMAIL,malware--f2e8c7a1-cae1-45c4-baf0-6f21bdcbb2c2,software,(Citation: Mandiant APT1),relationship--324a5331-cce7-4154-a803-ad68d5de1f94,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0121,Lslsass,tool--2fab555f-7664-4623-b4e0-1675ae38190b,software,(Citation: Mandiant APT1),relationship--44858dc2-c869-42a0-8f67-3ddd9660b538,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0002,Mimikatz,tool--afc079f3-c0ea-4096-b75d-3f05338b7f60,software,(Citation: Mandiant APT1),relationship--630dedba-136b-4ea3-956e-f8f38e96653d,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0039,Net,tool--03342581-f790-4f03-ba41-e82e67392e23,software,(Citation: Mandiant APT1),relationship--b6f70ba6-bff1-4b40-a418-356e7b6efa27,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0122,Pass-The-Hash Toolkit,tool--a52edc76-328d-4596-85e7-d56ef5a9eb69,software,(Citation: Mandiant APT1),relationship--76393f0c-a13c-48a8-ba7d-80502ae938a7,31 May 2017,20 August 2019
G0006,APT1,intrusion-set--6a2e693f-24e5-451a-9f88-b36a108e5662,group,uses,S0012,PoisonIvy,malware--b42378e0-f147-496f-992a-26a49705395b,software,(Citation: Mandiant APT1),relationship--47545d87-b0ae-45ae-aeea-dc849eac2f6f,31 May 2017,20 August 2019
